Age,Gender,Academic_Level,Country,Governorate,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
19,Female,Undergraduate,Egypt,Gharbia,5.0,Instagram,Yes,6.0,6,Single,4,7
22,Female,Graduate,Egypt,Sohag,5.8,Instagram,Yes,5.8,5,Single,3,8
19,Female,Undergraduate,Egypt,Sohag,4.7,WhatsApp,No,7.4,7,Complicated,3,5
21,Female,Graduate,Egypt,Minya,5.4,Facebook,No,6.9,7,In Relationship,3,5
21,Male,Undergraduate,Egypt,Red Sea,5.2,WhatsApp,Yes,7.4,7,Single,4,7
22,Male,High School,Egypt,Beheira,4.2,Instagram,Yes,6.8,7,Single,2,6
20,Female,Undergraduate,Egypt,Luxor,5.6,Facebook,Yes,6.8,6,Single,4,8
21,Female,Graduate,Egypt,Luxor,3.9,Facebook,Yes,7.5,5,Single,4,8
20,Female,Undergraduate,Egypt,Fayoum,6.2,Facebook,Yes,4.9,5,In Relationship,4,8
21,Female,High School,Egypt,Dakahlia,3.8,Instagram,Yes,7.0,7,In Relationship,3,6
19,Male,Undergraduate,Egypt,Gharbia,6.3,Facebook,Yes,6.2,7,In Relationship,3,6
19,Female,Graduate,Egypt,Luxor,7.7,TikTok,Yes,5.4,4,Single,4,9
19,Female,Graduate,Egypt,Alexandria,5.8,TikTok,Yes,5.8,6,Single,3,7
21,Male,Graduate,Egypt,Suez,3.7,Instagram,No,8.7,7,Single,2,5
21,Female,Undergraduate,Egypt,Giza,6.7,Facebook,Yes,5.8,4,Single,4,9
20,Female,Undergraduate,Egypt,Dakahlia,4.4,WhatsApp,Yes,6.5,7,Complicated,2,6
23,Male,Undergraduate,Egypt,Assiut,4.4,Facebook,No,6.2,7,In Relationship,2,6
21,Female,Graduate,Egypt,Suez,4.6,Instagram,No,8.1,7,Single,2,5
19,Female,Undergraduate,Egypt,Red Sea,4.2,Twitter,No,7.6,7,Single,2,5
22,Male,High School,Egypt,Fayoum,4.7,Facebook,Yes,6.0,5,Single,3,6
20,Male,Graduate,Egypt,Gharbia,7.0,WhatsApp,Yes,4.9,5,Complicated,2,7
22,Female,Undergraduate,Egypt,Alexandria,4.3,Instagram,Yes,6.8,7,Single,2,7
21,Male,Graduate,Egypt,Beheira,5.8,TikTok,Yes,5.7,5,Single,4,8
19,Male,Graduate,Egypt,Fayoum,6.6,Instagram,Yes,6.4,4,Single,4,9
20,Male,Undergraduate,Egypt,Luxor,3.7,Facebook,No,8.5,7,Single,2,4
22,Female,Undergraduate,Egypt,Aswan,5.0,TikTok,Yes,7.4,7,Single,3,6
22,Female,Undergraduate,Egypt,Cairo,3.9,TikTok,Yes,8.3,5,In Relationship,3,7
21,Male,Graduate,Egypt,Qena,6.2,Twitter,Yes,6.4,6,In Relationship,4,7
19,Female,Graduate,Egypt,Sohag,5.1,Instagram,Yes,7.2,6,In Relationship,4,8
22,Male,Graduate,Egypt,Beheira,6.8,WhatsApp,Yes,5.2,5,In Relationship,3,8
21,Female,Undergraduate,Egypt,Suez,5.0,WhatsApp,Yes,6.7,6,In Relationship,3,7
22,Male,Graduate,Egypt,Sharqia,7.4,Instagram,Yes,5.5,4,Single,5,8
22,Female,Undergraduate,Egypt,Red Sea,4.7,Instagram,Yes,7.2,6,In Relationship,3,6
22,Male,Undergraduate,Egypt,Fayoum,4.8,TikTok,No,7.2,7,Single,3,5
20,Male,Undergraduate,Egypt,Fayoum,2.5,Facebook,No,7.9,7,In Relationship,2,5
23,Male,Graduate,Egypt,Suez,3.7,Instagram,No,7.8,8,Single,2,5
19,Female,Graduate,Egypt,Monufia,4.7,Instagram,Yes,6.3,6,In Relationship,3,8
22,Male,Undergraduate,Egypt,Gharbia,4.7,Instagram,No,7.4,7,Single,2,5
20,Male,Graduate,Egypt,Sharqia,5.1,Instagram,Yes,6.8,7,Single,2,7
19,Male,Graduate,Egypt,Monufia,4.5,Instagram,Yes,7.5,6,In Relationship,4,8
20,Male,Undergraduate,Egypt,Alexandria,5.5,TikTok,Yes,5.8,5,Complicated,4,7
22,Male,Graduate,Egypt,Port Said,5.7,TikTok,Yes,7.3,6,Single,3,7
18,Female,Graduate,Egypt,Ismailia,5.9,Instagram,Yes,6.8,6,Single,3,7
20,Female,Graduate,Egypt,Suez,4.4,Instagram,Yes,6.4,7,In Relationship,2,6
21,Female,Undergraduate,Egypt,Luxor,5.9,TikTok,Yes,5.9,5,Single,4,9
20,Male,Graduate,Egypt,Qalyubia,5.8,Twitter,Yes,6.0,6,In Relationship,3,7
20,Female,Undergraduate,Egypt,Port Said,5.6,WhatsApp,Yes,7.2,6,Complicated,3,7
20,Male,Graduate,Egypt,Minya,4.7,TikTok,Yes,6.9,6,Single,3,7
22,Male,Undergraduate,Egypt,Luxor,5.2,TikTok,Yes,7.1,7,In Relationship,2,7
20,Male,Undergraduate,Egypt,Ismailia,4.1,TikTok,No,7.7,6,In Relationship,3,6
21,Male,Graduate,Egypt,Giza,5.0,KakaoTalk,Yes,7.2,6,Single,4,8
19,Female,Graduate,Egypt,Minya,7.1,Instagram,Yes,5.3,6,In Relationship,4,8
20,Female,Undergraduate,Egypt,Monufia,5.4,Instagram,Yes,5.8,5,Single,4,8
22,Female,Undergraduate,Egypt,Port Said,4.7,Instagram,No,7.4,7,Single,1,5
19,Male,Graduate,Egypt,Monufia,3.3,TikTok,No,7.3,8,In Relationship,3,5
19,Female,Undergraduate,Egypt,Red Sea,4.9,Facebook,Yes,6.9,6,In Relationship,2,7
18,Female,Graduate,Egypt,Sharqia,4.7,Facebook,No,8.4,7,In Relationship,3,5
22,Male,Undergraduate,Egypt,Aswan,3.6,Instagram,No,8.4,7,Single,2,5
20,Female,Undergraduate,Egypt,Suez,3.4,Instagram,No,8.8,7,In Relationship,2,5
21,Male,Graduate,Egypt,Red Sea,2.6,Instagram,No,8.2,8,Complicated,1,4
22,Female,Graduate,Egypt,Qalyubia,3.9,Instagram,No,8.0,7,Single,3,5
20,Female,Undergraduate,Egypt,Dakahlia,6.2,TikTok,Yes,6.4,5,In Relationship,4,8
21,Female,Graduate,Egypt,Sohag,3.5,Instagram,No,7.1,8,Complicated,2,4
23,Female,Undergraduate,Egypt,Dakahlia,6.7,Instagram,Yes,6.5,5,Single,4,8
22,Female,Graduate,Egypt,Sohag,5.2,TikTok,Yes,6.5,6,In Relationship,3,7
21,Male,Undergraduate,Egypt,Monufia,5.7,Instagram,Yes,7.2,5,Single,4,9
19,Male,Undergraduate,Egypt,Red Sea,7.1,Instagram,Yes,5.3,4,In Relationship,5,8
22,Female,Graduate,Egypt,Monufia,7.5,TikTok,Yes,5.0,5,Complicated,4,9
20,Male,Undergraduate,Egypt,Gharbia,3.2,Instagram,No,7.7,7,Single,2,5
20,Male,High School,Egypt,Qena,4.8,Instagram,Yes,6.5,6,Single,3,7
22,Female,Graduate,Egypt,Port Said,4.6,Instagram,Yes,6.3,6,In Relationship,2,7
22,Female,Graduate,Egypt,Ismailia,2.5,LINE,No,8.3,8,Single,2,4
21,Female,Undergraduate,Egypt,Gharbia,4.4,Facebook,Yes,7.9,6,In Relationship,3,7
20,Male,Undergraduate,Egypt,Sohag,3.0,Facebook,No,8.4,8,Single,3,4
24,Female,Undergraduate,Egypt,Port Said,2.0,Facebook,No,9.5,9,In Relationship,0,3
21,Male,Undergraduate,Egypt,Monufia,5.6,WhatsApp,Yes,8.0,6,Single,3,6
20,Male,Graduate,Egypt,Luxor,5.4,YouTube,Yes,6.4,5,Single,4,8
19,Male,Undergraduate,Egypt,Cairo,4.8,TikTok,Yes,6.2,6,In Relationship,3,8
21,Female,Graduate,Egypt,Aswan,2.7,Instagram,No,8.9,7,In Relationship,2,4
19,Female,Graduate,Egypt,Minya,5.7,TikTok,Yes,6.3,5,Single,3,8
20,Female,Graduate,Egypt,Aswan,3.1,Instagram,No,8.1,7,Single,2,4
20,Male,Graduate,Egypt,Assiut,5.0,Twitter,Yes,6.6,6,In Relationship,3,8
19,Female,Undergraduate,Egypt,Monufia,4.3,WhatsApp,No,8.3,8,In Relationship,2,5
20,Male,Undergraduate,Egypt,Fayoum,4.8,TikTok,Yes,7.4,6,Single,3,8
22,Male,Undergraduate,Egypt,Sohag,2.1,Instagram,No,8.6,8,Single,1,3
19,Female,Undergraduate,Egypt,Dakahlia,5.2,TikTok,Yes,6.3,5,Single,3,8
22,Female,Graduate,Egypt,Port Said,4.7,LINE,No,7.1,5,Single,3,5
19,Female,Graduate,Egypt,Beheira,8.1,TikTok,Yes,5.1,5,Single,4,7
20,Female,Undergraduate,Egypt,Fayoum,2.2,Facebook,No,7.6,8,In Relationship,2,4
19,Male,Undergraduate,Egypt,Dakahlia,3.4,Instagram,No,9.1,8,Complicated,2,4
20,Female,Undergraduate,Egypt,Sohag,3.8,Facebook,No,8.6,7,In Relationship,2,5
22,Male,Graduate,Egypt,Ismailia,3.1,KakaoTalk,No,8.9,7,Single,2,4
22,Female,High School,Egypt,Alexandria,4.1,WhatsApp,No,8.4,7,In Relationship,2,5
21,Male,Undergraduate,Egypt,Qalyubia,4.5,TikTok,Yes,8.0,6,In Relationship,3,7
19,Female,Graduate,Egypt,Ismailia,5.3,Instagram,Yes,6.7,6,In Relationship,3,7
19,Male,Graduate,Egypt,Alexandria,6.0,Twitter,Yes,5.7,6,In Relationship,2,7
23,Male,Undergraduate,Egypt,Monufia,3.4,Facebook,No,9.1,8,Single,2,4
21,Female,Undergraduate,Egypt,Giza,3.8,TikTok,No,8.4,6,Single,2,4
21,Female,Graduate,Egypt,Beheira,5.6,TikTok,Yes,6.1,7,Single,2,6
18,Male,Undergraduate,Egypt,Qena,2.3,WhatsApp,No,9.5,8,Single,1,3
22,Female,Graduate,Egypt,Red Sea,7.1,Instagram,Yes,5.4,6,Single,4,8
21,Female,High School,Egypt,Port Said,4.2,TikTok,No,7.1,6,In Relationship,3,6
20,Female,Undergraduate,Egypt,Ismailia,4.3,Instagram,Yes,6.8,7,Single,3,7
20,Female,Graduate,Egypt,Sohag,3.1,Twitter,No,8.9,7,In Relationship,2,5
22,Female,Graduate,Egypt,Qalyubia,6.3,Facebook,Yes,6.6,6,Single,3,7
21,Male,Graduate,Egypt,Port Said,2.3,Instagram,No,8.3,8,In Relationship,0,2
22,Male,Undergraduate,Egypt,Aswan,5.0,Facebook,Yes,7.3,7,Single,3,6
21,Female,Undergraduate,Egypt,Qena,4.6,Instagram,Yes,5.9,5,Single,3,7
21,Male,Undergraduate,Egypt,Giza,1.5,Instagram,No,9.3,9,In Relationship,0,2
21,Male,Graduate,Egypt,Port Said,6.4,Instagram,Yes,6.2,5,Single,4,8
21,Male,Undergraduate,Egypt,Sharqia,4.6,Facebook,No,6.7,6,Single,2,5
23,Male,Undergraduate,Egypt,Giza,5.4,Instagram,No,6.8,6,In Relationship,2,5
20,Female,Graduate,Egypt,Sohag,6.3,TikTok,Yes,5.0,5,In Relationship,3,7
19,Female,Graduate,Egypt,Qena,6.6,WeChat,Yes,5.7,4,Single,5,9
20,Female,Graduate,Egypt,Luxor,5.9,Instagram,Yes,5.3,6,In Relationship,4,8
22,Male,Graduate,Egypt,Dakahlia,2.9,Facebook,Yes,8.1,7,Single,2,7
21,Female,Undergraduate,Egypt,Giza,4.5,Facebook,Yes,6.5,6,Complicated,2,7
20,Female,Undergraduate,Egypt,Port Said,3.6,Twitter,No,8.5,8,In Relationship,1,4
19,Male,Graduate,Egypt,Beheira,6.7,Instagram,Yes,4.7,5,In Relationship,4,8
24,Female,Undergraduate,Egypt,Cairo,4.3,Instagram,Yes,6.3,6,In Relationship,3,8
21,Female,Graduate,Egypt,Luxor,5.6,LinkedIn,Yes,6.5,6,In Relationship,3,7
22,Female,Undergraduate,Egypt,Minya,3.9,Facebook,Yes,7.1,6,Complicated,3,7
20,Female,Graduate,Egypt,Fayoum,4.3,Instagram,Yes,8.2,6,Single,3,7
20,Female,Undergraduate,Egypt,Qalyubia,7.5,Facebook,Yes,5.0,4,Single,5,9
24,Female,Graduate,Egypt,Ismailia,6.2,KakaoTalk,Yes,5.7,5,Single,3,7
22,Female,High School,Egypt,Assiut,4.6,TikTok,No,7.0,6,Single,3,5
22,Female,Undergraduate,Egypt,Dakahlia,4.7,Facebook,Yes,7.1,6,In Relationship,3,7
20,Female,Graduate,Egypt,Gharbia,5.0,Instagram,Yes,6.4,6,In Relationship,4,7
21,Female,Graduate,Egypt,Red Sea,5.9,TikTok,Yes,5.7,5,Single,4,8
19,Female,Graduate,Egypt,Cairo,4.1,TikTok,No,7.3,7,In Relationship,1,5
19,Male,Undergraduate,Egypt,Suez,5.6,TikTok,Yes,6.2,7,Single,3,7
21,Female,Graduate,Egypt,Suez,6.2,Snapchat,Yes,6.7,6,Single,4,8
21,Male,Undergraduate,Egypt,Aswan,4.4,Instagram,No,7.4,6,In Relationship,2,6
21,Male,Graduate,Egypt,Fayoum,4.7,Instagram,Yes,7.8,6,Single,4,8
19,Male,Graduate,Egypt,Sharqia,2.5,Instagram,No,9.3,8,Single,1,4
19,Female,Graduate,Egypt,Fayoum,4.5,Facebook,Yes,7.8,6,Complicated,3,7
21,Female,Graduate,Egypt,Alexandria,5.2,KakaoTalk,Yes,5.3,5,In Relationship,4,8
19,Male,Undergraduate,Egypt,Fayoum,7.3,WhatsApp,Yes,4.3,5,In Relationship,4,9
19,Male,Undergraduate,Egypt,Sohag,4.1,Instagram,Yes,7.4,5,In Relationship,3,7
20,Male,Undergraduate,Egypt,Beheira,4.0,Facebook,No,7.6,8,Single,3,4
19,Female,Graduate,Egypt,Gharbia,5.4,Twitter,Yes,5.9,5,In Relationship,3,8
19,Male,Graduate,Egypt,Giza,5.2,Instagram,Yes,7.1,6,In Relationship,3,7
20,Female,Graduate,Egypt,Ismailia,3.2,TikTok,No,7.8,8,Single,1,4
20,Male,Undergraduate,Egypt,Monufia,5.5,Instagram,Yes,7.2,6,In Relationship,4,8
21,Male,Undergraduate,Egypt,Dakahlia,5.4,VKontakte,Yes,8.0,5,In Relationship,4,7
19,Female,Graduate,Egypt,Sharqia,8.3,Instagram,Yes,4.8,4,In Relationship,5,9
20,Male,Undergraduate,Egypt,Beheira,6.9,Facebook,Yes,6.8,6,Single,4,8
20,Male,Undergraduate,Egypt,Luxor,4.9,Instagram,No,7.6,7,In Relationship,2,4
