Student_ID,Feature_1,SHAP_1,Direction_1,Feature_2,SHAP_2,Direction_2,Feature_3,SHAP_3,Direction_3,Feature_4,SHAP_4,Direction_4,Feature_5,SHAP_5,Direction_5
10,Affects_Academic_Performance,-1.3552,Decreases Risk,Psychosocial_Load,0.0456,Increases Risk,Wellness_Ratio,-0.0443,Decreases Risk,Mental_Health_Score,0.0288,Increases Risk,Age,0.0237,Increases Risk
11,Affects_Academic_Performance,0.9752,Increases Risk,Stress_Density,0.4631,Increases Risk,Wellness_Ratio,0.201,Increases Risk,Recovery_Capacity,0.1083,Increases Risk,Psychosocial_Load,0.1022,Increases Risk
12,Affects_Academic_Performance,0.766,Increases Risk,Stress_Density,-0.1139,Decreases Risk,Wellness_Ratio,-0.043,Decreases Risk,Recovery_Capacity,0.0333,Increases Risk,Age,0.0145,Increases Risk
13,Affects_Academic_Performance,0.987,Increases Risk,Stress_Density,0.4697,Increases Risk,Wellness_Ratio,0.2756,Increases Risk,Recovery_Capacity,0.1665,Increases Risk,Psychosocial_Load,0.133,Increases Risk
14,Affects_Academic_Performance,-1.3186,Decreases Risk,Stress_Density,-0.1218,Decreases Risk,Mental_Health_Score,0.0312,Increases Risk,Recovery_Capacity,0.0273,Increases Risk,Wellness_Ratio,0.0173,Increases Risk
15,Affects_Academic_Performance,0.7191,Increases Risk,Stress_Density,-0.2741,Decreases Risk,Wellness_Ratio,-0.2234,Decreases Risk,Recovery_Capacity,-0.1001,Decreases Risk,Psychosocial_Load,-0.05,Decreases Risk
16,Affects_Academic_Performance,0.7519,Increases Risk,Stress_Density,-0.2431,Decreases Risk,Wellness_Ratio,-0.1664,Decreases Risk,Recovery_Capacity,-0.0424,Decreases Risk,Age,-0.0336,Decreases Risk
17,Affects_Academic_Performance,0.8846,Increases Risk,Stress_Density,0.3817,Increases Risk,Wellness_Ratio,-0.1528,Decreases Risk,Psychosocial_Load,0.0872,Increases Risk,Recovery_Capacity,0.0366,Increases Risk
18,Affects_Academic_Performance,0.7405,Increases Risk,Wellness_Ratio,-0.1353,Decreases Risk,Stress_Density,-0.1241,Decreases Risk,Age,0.0457,Increases Risk,Recovery_Capacity,-0.0213,Decreases Risk
19,Affects_Academic_Performance,0.7403,Increases Risk,Stress_Density,-0.2582,Decreases Risk,Wellness_Ratio,-0.1972,Decreases Risk,Recovery_Capacity,-0.1038,Decreases Risk,Age,0.0395,Increases Risk
20,Affects_Academic_Performance,1.0048,Increases Risk,Stress_Density,0.4788,Increases Risk,Wellness_Ratio,0.2896,Increases Risk,Psychosocial_Load,0.1909,Increases Risk,Recovery_Capacity,0.1612,Increases Risk
21,Affects_Academic_Performance,0.9498,Increases Risk,Stress_Density,0.4247,Increases Risk,Recovery_Capacity,0.1363,Increases Risk,Wellness_Ratio,0.1074,Increases Risk,Psychosocial_Load,0.1063,Increases Risk
22,Affects_Academic_Performance,0.7804,Increases Risk,Stress_Density,-0.1296,Decreases Risk,Recovery_Capacity,0.0601,Increases Risk,Lifestyle_Balance,0.0184,Increases Risk,Age,-0.0123,Decreases Risk
23,Affects_Academic_Performance,0.8323,Increases Risk,Stress_Density,0.1158,Increases Risk,Psychosocial_Load,0.0922,Increases Risk,Age,-0.0637,Decreases Risk,Wellness_Ratio,-0.0504,Decreases Risk
24,Affects_Academic_Performance,0.7489,Increases Risk,Stress_Density,-0.1233,Decreases Risk,Wellness_Ratio,-0.1059,Decreases Risk,Recovery_Capacity,-0.0379,Decreases Risk,Mental_Health_Score,0.0081,Increases Risk
25,Affects_Academic_Performance,1.0241,Increases Risk,Stress_Density,0.6939,Increases Risk,Wellness_Ratio,0.2467,Increases Risk,Recovery_Capacity,0.1294,Increases Risk,Psychosocial_Load,0.1111,Increases Risk
26,Affects_Academic_Performance,0.7784,Increases Risk,Stress_Density,-0.1241,Decreases Risk,Age,-0.0953,Decreases Risk,Recovery_Capacity,0.0498,Increases Risk,Lifestyle_Balance,0.0146,Increases Risk
27,Affects_Academic_Performance,-1.7831,Decreases Risk,Stress_Density,-0.554,Decreases Risk,Wellness_Ratio,-0.3284,Decreases Risk,Psychosocial_Load,-0.3026,Decreases Risk,Recovery_Capacity,-0.2545,Decreases Risk
28,Affects_Academic_Performance,0.7343,Increases Risk,Wellness_Ratio,-0.16,Decreases Risk,Stress_Density,-0.1346,Decreases Risk,Psychosocial_Load,-0.1026,Decreases Risk,Age,0.0215,Increases Risk
29,Affects_Academic_Performance,-1.3141,Decreases Risk,Wellness_Ratio,-0.0833,Decreases Risk,Recovery_Capacity,0.0363,Increases Risk,Mental_Health_Score,0.0288,Increases Risk,Age,0.0258,Increases Risk
30,Affects_Academic_Performance,1.0317,Increases Risk,Stress_Density,0.6848,Increases Risk,Wellness_Ratio,0.3364,Increases Risk,Recovery_Capacity,0.212,Increases Risk,Psychosocial_Load,0.1204,Increases Risk
31,Affects_Academic_Performance,0.8006,Increases Risk,Age,0.0612,Increases Risk,Recovery_Capacity,0.0604,Increases Risk,Stress_Density,0.0572,Increases Risk,Wellness_Ratio,-0.048,Decreases Risk
32,Affects_Academic_Performance,0.7321,Increases Risk,Stress_Density,-0.2997,Decreases Risk,Wellness_Ratio,-0.2094,Decreases Risk,Psychosocial_Load,-0.1295,Decreases Risk,Age,0.0431,Increases Risk
33,Affects_Academic_Performance,0.8998,Increases Risk,Stress_Density,0.3387,Increases Risk,Recovery_Capacity,0.0743,Increases Risk,Psychosocial_Load,0.0704,Increases Risk,Age,-0.0562,Decreases Risk
34,Affects_Academic_Performance,-1.5539,Decreases Risk,Stress_Density,-0.4111,Decreases Risk,Recovery_Capacity,-0.1778,Decreases Risk,Psychosocial_Load,-0.0829,Decreases Risk,Wellness_Ratio,-0.0798,Decreases Risk
35,Affects_Academic_Performance,0.9425,Increases Risk,Stress_Density,0.4073,Increases Risk,Recovery_Capacity,0.1036,Increases Risk,Psychosocial_Load,0.0893,Increases Risk,Wellness_Ratio,0.064,Increases Risk
36,Affects_Academic_Performance,0.7368,Increases Risk,Stress_Density,-0.3419,Decreases Risk,Wellness_Ratio,-0.1616,Decreases Risk,Psychosocial_Load,-0.1135,Decreases Risk,Recovery_Capacity,-0.0303,Decreases Risk
37,Affects_Academic_Performance,-1.6437,Decreases Risk,Stress_Density,-0.4063,Decreases Risk,Wellness_Ratio,-0.1778,Decreases Risk,Psychosocial_Load,-0.1692,Decreases Risk,Recovery_Capacity,-0.1688,Decreases Risk
38,Affects_Academic_Performance,1.0354,Increases Risk,Stress_Density,0.6786,Increases Risk,Wellness_Ratio,0.3241,Increases Risk,Recovery_Capacity,0.1844,Increases Risk,Psychosocial_Load,0.1293,Increases Risk
39,Affects_Academic_Performance,-1.4516,Decreases Risk,Stress_Density,-0.2368,Decreases Risk,Recovery_Capacity,-0.1525,Decreases Risk,Wellness_Ratio,-0.0798,Decreases Risk,Mental_Health_Score,-0.0428,Decreases Risk
40,Affects_Academic_Performance,-1.3531,Decreases Risk,Stress_Density,-0.1235,Decreases Risk,Psychosocial_Load,-0.0411,Decreases Risk,Wellness_Ratio,-0.039,Decreases Risk,Age,-0.0272,Decreases Risk
41,Affects_Academic_Performance,-1.5875,Decreases Risk,Stress_Density,-0.2515,Decreases Risk,Recovery_Capacity,-0.2355,Decreases Risk,Wellness_Ratio,-0.2225,Decreases Risk,Psychosocial_Load,-0.0787,Decreases Risk
42,Affects_Academic_Performance,-1.3442,Decreases Risk,Stress_Density,-0.1286,Decreases Risk,Age,-0.1105,Decreases Risk,Wellness_Ratio,-0.0934,Decreases Risk,Psychosocial_Load,-0.0599,Decreases Risk
43,Affects_Academic_Performance,-1.6216,Decreases Risk,Stress_Density,-0.2743,Decreases Risk,Psychosocial_Load,-0.266,Decreases Risk,Wellness_Ratio,-0.2471,Decreases Risk,Recovery_Capacity,-0.1604,Decreases Risk
44,Affects_Academic_Performance,0.7994,Increases Risk,Wellness_Ratio,-0.1364,Decreases Risk,Psychosocial_Load,0.1163,Increases Risk,Stress_Density,0.1112,Increases Risk,Recovery_Capacity,-0.0356,Decreases Risk
45,Affects_Academic_Performance,0.873,Increases Risk,Recovery_Capacity,0.1312,Increases Risk,Wellness_Ratio,0.1231,Increases Risk,Age,0.0958,Increases Risk,Stress_Density,0.0936,Increases Risk
46,Affects_Academic_Performance,0.7735,Increases Risk,Stress_Density,-0.1046,Decreases Risk,Recovery_Capacity,0.0403,Increases Risk,Wellness_Ratio,-0.0359,Decreases Risk,Academic_Level,-0.0141,Decreases Risk
47,Affects_Academic_Performance,0.8863,Increases Risk,Wellness_Ratio,0.1763,Increases Risk,Stress_Density,0.1571,Increases Risk,Psychosocial_Load,0.1144,Increases Risk,Age,0.0743,Increases Risk
48,Affects_Academic_Performance,0.7615,Increases Risk,Stress_Density,-0.1066,Decreases Risk,Wellness_Ratio,-0.0464,Decreases Risk,Age,0.0449,Increases Risk,Governorate_Qalyubia,-0.0208,Decreases Risk
49,Affects_Academic_Performance,0.8264,Increases Risk,Stress_Density,0.1193,Increases Risk,Psychosocial_Load,0.0921,Increases Risk,Wellness_Ratio,-0.0689,Decreases Risk,Age,-0.0571,Decreases Risk
50,Affects_Academic_Performance,0.897,Increases Risk,Stress_Density,0.3315,Increases Risk,Recovery_Capacity,0.1339,Increases Risk,Age,-0.0217,Decreases Risk,Usage_Age_Ratio,-0.0217,Decreases Risk
51,Affects_Academic_Performance,0.7313,Increases Risk,Wellness_Ratio,-0.1571,Decreases Risk,Stress_Density,-0.1319,Decreases Risk,Psychosocial_Load,-0.1024,Decreases Risk,Age,0.0192,Increases Risk
52,Affects_Academic_Performance,-1.3853,Decreases Risk,Stress_Density,-0.1351,Decreases Risk,Recovery_Capacity,-0.1316,Decreases Risk,Wellness_Ratio,-0.1051,Decreases Risk,Sleep_Hours_Per_Night,-0.0463,Decreases Risk
53,Affects_Academic_Performance,-1.3225,Decreases Risk,Stress_Density,-0.1254,Decreases Risk,Age,0.0518,Increases Risk,Psychosocial_Load,-0.0494,Decreases Risk,Mental_Health_Score,0.0238,Increases Risk
54,Affects_Academic_Performance,-1.6472,Decreases Risk,Stress_Density,-0.3996,Decreases Risk,Wellness_Ratio,-0.1682,Decreases Risk,Recovery_Capacity,-0.1613,Decreases Risk,Psychosocial_Load,-0.1528,Decreases Risk
55,Affects_Academic_Performance,0.7444,Increases Risk,Wellness_Ratio,-0.1644,Decreases Risk,Stress_Density,-0.1275,Decreases Risk,Psychosocial_Load,-0.045,Decreases Risk,Recovery_Capacity,-0.0378,Decreases Risk
56,Affects_Academic_Performance,0.7444,Increases Risk,Stress_Density,-0.3801,Decreases Risk,Wellness_Ratio,-0.231,Decreases Risk,Recovery_Capacity,-0.1552,Decreases Risk,Psychosocial_Load,-0.1248,Decreases Risk
57,Affects_Academic_Performance,-1.6656,Decreases Risk,Stress_Density,-0.4126,Decreases Risk,Psychosocial_Load,-0.1931,Decreases Risk,Wellness_Ratio,-0.1787,Decreases Risk,Recovery_Capacity,-0.1627,Decreases Risk
58,Affects_Academic_Performance,0.7298,Increases Risk,Wellness_Ratio,-0.1465,Decreases Risk,Stress_Density,-0.132,Decreases Risk,Psychosocial_Load,-0.0569,Decreases Risk,Recovery_Capacity,-0.0187,Decreases Risk
59,Affects_Academic_Performance,0.7759,Increases Risk,Stress_Density,-0.1174,Decreases Risk,Recovery_Capacity,0.0472,Increases Risk,Wellness_Ratio,-0.0167,Decreases Risk,Age,0.0147,Increases Risk
60,Affects_Academic_Performance,-1.3484,Decreases Risk,Stress_Density,-0.1326,Decreases Risk,Wellness_Ratio,-0.0616,Decreases Risk,Psychosocial_Load,-0.0567,Decreases Risk,Mental_Health_Score,0.0238,Increases Risk
61,Affects_Academic_Performance,0.7989,Increases Risk,Stress_Density,-0.1139,Decreases Risk,Psychosocial_Load,0.0566,Increases Risk,Age,-0.0378,Decreases Risk,Wellness_Ratio,0.0298,Increases Risk
62,Affects_Academic_Performance,0.7297,Increases Risk,Stress_Density,-0.2812,Decreases Risk,Wellness_Ratio,-0.1573,Decreases Risk,Psychosocial_Load,-0.1181,Decreases Risk,Recovery_Capacity,-0.0273,Decreases Risk
63,Affects_Academic_Performance,0.7594,Increases Risk,Stress_Density,-0.3776,Decreases Risk,Wellness_Ratio,-0.2351,Decreases Risk,Recovery_Capacity,-0.1623,Decreases Risk,Psychosocial_Load,-0.1222,Decreases Risk
64,Affects_Academic_Performance,-1.3472,Decreases Risk,Age,-0.1129,Decreases Risk,Stress_Density,0.0922,Increases Risk,Psychosocial_Load,0.0538,Increases Risk,Mental_Health_Score,0.0288,Increases Risk
65,Affects_Academic_Performance,1.0496,Increases Risk,Stress_Density,0.7267,Increases Risk,Wellness_Ratio,0.3129,Increases Risk,Psychosocial_Load,0.1859,Increases Risk,Recovery_Capacity,0.1568,Increases Risk
66,Affects_Academic_Performance,-1.3322,Decreases Risk,Age,-0.1006,Decreases Risk,Psychosocial_Load,0.0555,Increases Risk,Mental_Health_Score,0.0288,Increases Risk,Recovery_Capacity,0.0218,Increases Risk
67,Affects_Academic_Performance,-1.3587,Decreases Risk,Stress_Density,-0.1365,Decreases Risk,Wellness_Ratio,-0.1053,Decreases Risk,Psychosocial_Load,-0.0558,Decreases Risk,Mental_Health_Score,0.0238,Increases Risk
68,Affects_Academic_Performance,0.8666,Increases Risk,Stress_Density,0.3691,Increases Risk,Age,-0.1076,Decreases Risk,Wellness_Ratio,-0.1074,Decreases Risk,Recovery_Capacity,0.0689,Increases Risk
69,Affects_Academic_Performance,0.7547,Increases Risk,Stress_Density,-0.1179,Decreases Risk,Age,-0.1115,Decreases Risk,Wellness_Ratio,-0.0816,Decreases Risk,Usage_Age_Ratio,-0.0185,Decreases Risk
70,Affects_Academic_Performance,-1.3345,Decreases Risk,Stress_Density,-0.1412,Decreases Risk,Wellness_Ratio,-0.0818,Decreases Risk,Age,0.0656,Increases Risk,Psychosocial_Load,-0.0546,Decreases Risk
71,Affects_Academic_Performance,-1.3064,Decreases Risk,Wellness_Ratio,-0.0954,Decreases Risk,Age,0.0592,Increases Risk,Recovery_Capacity,-0.0291,Decreases Risk,Mental_Health_Score,0.0288,Increases Risk
72,Affects_Academic_Performance,0.7291,Increases Risk,Wellness_Ratio,-0.1491,Decreases Risk,Stress_Density,-0.1284,Decreases Risk,Age,0.0618,Increases Risk,Psychosocial_Load,-0.0591,Decreases Risk
73,Affects_Academic_Performance,0.7974,Increases Risk,Recovery_Capacity,0.0812,Increases Risk,Age,-0.0514,Decreases Risk,Psychosocial_Load,-0.0502,Decreases Risk,Wellness_Ratio,-0.0488,Decreases Risk
74,Affects_Academic_Performance,0.7683,Increases Risk,Stress_Density,-0.1082,Decreases Risk,Age,0.0445,Increases Risk,Wellness_Ratio,-0.0384,Decreases Risk,Recovery_Capacity,0.0321,Increases Risk
75,Affects_Academic_Performance,-1.4408,Decreases Risk,Stress_Density,-0.234,Decreases Risk,Wellness_Ratio,-0.0968,Decreases Risk,Mental_Health_Score,-0.0428,Decreases Risk,Age,-0.0424,Decreases Risk
76,Affects_Academic_Performance,-1.5753,Decreases Risk,Stress_Density,-0.2638,Decreases Risk,Recovery_Capacity,-0.2334,Decreases Risk,Wellness_Ratio,-0.2167,Decreases Risk,Psychosocial_Load,-0.0798,Decreases Risk
77,Affects_Academic_Performance,0.7804,Increases Risk,Stress_Density,-0.1183,Decreases Risk,Recovery_Capacity,0.0498,Increases Risk,Lifestyle_Balance,0.0124,Increases Risk,Age,-0.0101,Decreases Risk
78,Affects_Academic_Performance,-1.3853,Decreases Risk,Recovery_Capacity,-0.1577,Decreases Risk,Stress_Density,-0.1342,Decreases Risk,Wellness_Ratio,-0.1057,Decreases Risk,Psychosocial_Load,-0.0411,Decreases Risk
79,Affects_Academic_Performance,1.0354,Increases Risk,Stress_Density,0.6998,Increases Risk,Wellness_Ratio,0.3161,Increases Risk,Recovery_Capacity,0.2063,Increases Risk,Psychosocial_Load,0.1265,Increases Risk
80,Affects_Academic_Performance,0.8371,Increases Risk,Stress_Density,0.1182,Increases Risk,Psychosocial_Load,0.0958,Increases Risk,Wellness_Ratio,-0.0358,Decreases Risk,Sleep_Hours_Per_Night,0.0178,Increases Risk
81,Affects_Academic_Performance,0.8696,Increases Risk,Stress_Density,0.3579,Increases Risk,Age,-0.1076,Decreases Risk,Wellness_Ratio,-0.0993,Decreases Risk,Recovery_Capacity,0.0812,Increases Risk
82,Affects_Academic_Performance,0.7529,Increases Risk,Stress_Density,-0.1238,Decreases Risk,Wellness_Ratio,-0.1054,Decreases Risk,Recovery_Capacity,0.0354,Increases Risk,Age,0.0174,Increases Risk
83,Affects_Academic_Performance,-1.3233,Decreases Risk,Stress_Density,-0.1138,Decreases Risk,Age,-0.0343,Decreases Risk,Mental_Health_Score,0.0288,Increases Risk,Recovery_Capacity,0.0223,Increases Risk
84,Affects_Academic_Performance,-1.5624,Decreases Risk,Stress_Density,-0.3891,Decreases Risk,Recovery_Capacity,-0.171,Decreases Risk,Wellness_Ratio,-0.0844,Decreases Risk,Psychosocial_Load,-0.083,Decreases Risk
85,Affects_Academic_Performance,-1.476,Decreases Risk,Stress_Density,-0.2392,Decreases Risk,Recovery_Capacity,-0.1824,Decreases Risk,Wellness_Ratio,-0.1364,Decreases Risk,Mental_Health_Score,-0.0329,Decreases Risk
86,Affects_Academic_Performance,0.8849,Increases Risk,Stress_Density,0.3748,Increases Risk,Wellness_Ratio,-0.0969,Decreases Risk,Psychosocial_Load,0.0799,Increases Risk,Recovery_Capacity,0.0751,Increases Risk
87,Affects_Academic_Performance,0.8185,Increases Risk,Wellness_Ratio,0.1861,Increases Risk,Stress_Density,-0.1413,Decreases Risk,Recovery_Capacity,0.0697,Increases Risk,Sleep_Deficit,0.0309,Increases Risk
88,Affects_Academic_Performance,0.9425,Increases Risk,Stress_Density,0.4057,Increases Risk,Recovery_Capacity,0.1047,Increases Risk,Psychosocial_Load,0.0883,Increases Risk,Wellness_Ratio,0.0865,Increases Risk
89,Affects_Academic_Performance,-1.3309,Decreases Risk,Age,0.0656,Increases Risk,Recovery_Capacity,0.0415,Increases Risk,Psychosocial_Load,0.0415,Increases Risk,Mental_Health_Score,0.0312,Increases Risk
90,Affects_Academic_Performance,0.7603,Increases Risk,Stress_Density,-0.1152,Decreases Risk,Wellness_Ratio,-0.0802,Decreases Risk,Recovery_Capacity,0.0175,Increases Risk,Usage_Age_Ratio,-0.012,Decreases Risk
91,Affects_Academic_Performance,-1.3224,Decreases Risk,Wellness_Ratio,-0.0893,Decreases Risk,Recovery_Capacity,0.0444,Increases Risk,Age,-0.0417,Decreases Risk,Mental_Health_Score,0.0288,Increases Risk
92,Affects_Academic_Performance,0.7351,Increases Risk,Stress_Density,-0.2541,Decreases Risk,Wellness_Ratio,-0.1351,Decreases Risk,Recovery_Capacity,-0.0355,Decreases Risk,Age,0.0119,Increases Risk
93,Affects_Academic_Performance,-1.333,Decreases Risk,Stress_Density,-0.1362,Decreases Risk,Wellness_Ratio,-0.0875,Decreases Risk,Psychosocial_Load,-0.0553,Decreases Risk,Age,0.0286,Increases Risk
94,Affects_Academic_Performance,0.7804,Increases Risk,Stress_Density,-0.1089,Decreases Risk,Recovery_Capacity,0.0483,Increases Risk,Usage_Age_Ratio,0.0123,Increases Risk,Lifestyle_Balance,0.0122,Increases Risk
95,Affects_Academic_Performance,0.7474,Increases Risk,Stress_Density,-0.2509,Decreases Risk,Wellness_Ratio,-0.1664,Decreases Risk,Recovery_Capacity,-0.0462,Decreases Risk,Age,0.0143,Increases Risk
96,Affects_Academic_Performance,0.7663,Increases Risk,Stress_Density,-0.2302,Decreases Risk,Wellness_Ratio,-0.0434,Decreases Risk,Age,-0.0387,Decreases Risk,Recovery_Capacity,0.0354,Increases Risk
97,Affects_Academic_Performance,-1.5426,Decreases Risk,Stress_Density,-0.2486,Decreases Risk,Recovery_Capacity,-0.1886,Decreases Risk,Wellness_Ratio,-0.1873,Decreases Risk,Psychosocial_Load,-0.0799,Decreases Risk
98,Affects_Academic_Performance,0.749,Increases Risk,Stress_Density,-0.2724,Decreases Risk,Psychosocial_Load,-0.102,Decreases Risk,Recovery_Capacity,0.0595,Increases Risk,Wellness_Ratio,-0.0393,Decreases Risk
99,Affects_Academic_Performance,0.8697,Increases Risk,Wellness_Ratio,0.1367,Increases Risk,Psychosocial_Load,0.0862,Increases Risk,Stress_Density,0.0775,Increases Risk,Recovery_Capacity,0.0322,Increases Risk
100,Affects_Academic_Performance,0.8856,Increases Risk,Stress_Density,0.3716,Increases Risk,Wellness_Ratio,-0.0956,Decreases Risk,Psychosocial_Load,0.079,Increases Risk,Recovery_Capacity,0.0733,Increases Risk
101,Affects_Academic_Performance,-1.3318,Decreases Risk,Stress_Density,-0.1385,Decreases Risk,Wellness_Ratio,-0.0876,Decreases Risk,Psychosocial_Load,-0.0559,Decreases Risk,Age,0.0529,Increases Risk
102,Affects_Academic_Performance,0.8095,Increases Risk,Recovery_Capacity,0.0702,Increases Risk,Stress_Density,0.0553,Increases Risk,Wellness_Ratio,-0.0492,Decreases Risk,Lifestyle_Balance,0.0146,Increases Risk
103,Affects_Academic_Performance,-1.3448,Decreases Risk,Stress_Density,-0.1336,Decreases Risk,Psychosocial_Load,-0.0516,Decreases Risk,Wellness_Ratio,-0.0372,Decreases Risk,Mental_Health_Score,0.0238,Increases Risk
104,Affects_Academic_Performance,-1.5733,Decreases Risk,Stress_Density,-0.3845,Decreases Risk,Recovery_Capacity,-0.1962,Decreases Risk,Wellness_Ratio,-0.0845,Decreases Risk,Psychosocial_Load,-0.0822,Decreases Risk
105,Affects_Academic_Performance,-1.3341,Decreases Risk,Wellness_Ratio,-0.0842,Decreases Risk,Age,-0.0448,Decreases Risk,Psychosocial_Load,0.03,Increases Risk,Mental_Health_Score,0.0288,Increases Risk
106,Affects_Academic_Performance,0.7321,Increases Risk,Stress_Density,-0.2534,Decreases Risk,Wellness_Ratio,-0.1945,Decreases Risk,Age,0.0537,Increases Risk,Psychosocial_Load,-0.0497,Decreases Risk
107,Affects_Academic_Performance,0.8079,Increases Risk,Recovery_Capacity,0.0815,Increases Risk,Wellness_Ratio,-0.0402,Decreases Risk,Stress_Density,0.0395,Increases Risk,Usage_Age_Ratio,-0.0162,Decreases Risk
108,Affects_Academic_Performance,-1.3224,Decreases Risk,Wellness_Ratio,-0.0906,Decreases Risk,Age,-0.0379,Decreases Risk,Recovery_Capacity,0.0303,Increases Risk,Mental_Health_Score,0.0288,Increases Risk
109,Affects_Academic_Performance,0.7615,Increases Risk,Stress_Density,-0.1069,Decreases Risk,Age,0.0617,Increases Risk,Wellness_Ratio,-0.0427,Decreases Risk,Usage_Age_Ratio,0.0141,Increases Risk
110,Affects_Academic_Performance,0.7753,Increases Risk,Stress_Density,-0.1127,Decreases Risk,Age,0.0585,Increases Risk,Recovery_Capacity,0.0416,Increases Risk,Sleep_Hours_Per_Night,0.0201,Increases Risk
111,Affects_Academic_Performance,-1.3388,Decreases Risk,Wellness_Ratio,-0.0588,Decreases Risk,Stress_Density,-0.0547,Decreases Risk,Psychosocial_Load,-0.0532,Decreases Risk,Recovery_Capacity,0.0391,Increases Risk
112,Affects_Academic_Performance,-1.7232,Decreases Risk,Stress_Density,-0.4501,Decreases Risk,Recovery_Capacity,-0.2381,Decreases Risk,Wellness_Ratio,-0.2376,Decreases Risk,Psychosocial_Load,-0.2043,Decreases Risk
113,Affects_Academic_Performance,0.8062,Increases Risk,Stress_Density,0.1254,Increases Risk,Age,0.0692,Increases Risk,Wellness_Ratio,-0.0481,Decreases Risk,Recovery_Capacity,0.0248,Increases Risk
114,Affects_Academic_Performance,0.8742,Increases Risk,Wellness_Ratio,0.1368,Increases Risk,Psychosocial_Load,0.0906,Increases Risk,Age,-0.0568,Decreases Risk,Recovery_Capacity,0.0551,Increases Risk
115,Affects_Academic_Performance,1.0519,Increases Risk,Stress_Density,0.6903,Increases Risk,Wellness_Ratio,0.3348,Increases Risk,Psychosocial_Load,0.187,Increases Risk,Recovery_Capacity,0.1807,Increases Risk
116,Affects_Academic_Performance,-1.5803,Decreases Risk,Stress_Density,-0.3884,Decreases Risk,Recovery_Capacity,-0.1666,Decreases Risk,Psychosocial_Load,-0.1224,Decreases Risk,Wellness_Ratio,-0.0839,Decreases Risk
117,Affects_Academic_Performance,0.7842,Increases Risk,Stress_Density,-0.3871,Decreases Risk,Wellness_Ratio,-0.174,Decreases Risk,Psychosocial_Load,-0.1414,Decreases Risk,Recovery_Capacity,-0.0353,Decreases Risk
118,Affects_Academic_Performance,0.9752,Increases Risk,Stress_Density,0.4603,Increases Risk,Wellness_Ratio,0.2267,Increases Risk,Psychosocial_Load,0.1092,Increases Risk,Recovery_Capacity,0.0998,Increases Risk
119,Affects_Academic_Performance,0.9449,Increases Risk,Stress_Density,0.421,Increases Risk,Recovery_Capacity,0.1127,Increases Risk,Psychosocial_Load,0.1057,Increases Risk,Wellness_Ratio,0.0882,Increases Risk
120,Affects_Academic_Performance,0.8626,Increases Risk,Wellness_Ratio,0.1343,Increases Risk,Recovery_Capacity,0.1119,Increases Risk,Stress_Density,0.0822,Increases Risk,Age,-0.0183,Decreases Risk
121,Affects_Academic_Performance,0.898,Increases Risk,Stress_Density,0.3484,Increases Risk,Recovery_Capacity,0.0777,Increases Risk,Psychosocial_Load,0.0706,Increases Risk,Wellness_Ratio,-0.0536,Decreases Risk
